,Wellbore name,NPDCode,Year,Month,On Stream,Oil,Gas,Water,GI,WI
262,15/9-F-14,5351,2015,Dec,740.5,5158.09,790131.36,94593.75,0.0,0.0
263,15/9-F-14,5351,2016,Jan,736.33332,4606.3,721123.87,97147.72,0.0,0.0
264,15/9-F-14,5351,2016,Feb,695.58333,3941.77,621658.73,86357.85,0.0,0.0
265,15/9-F-14,5351,2016,Mar,737.66666,3753.8,604911.16,98119.24,0.0,0.0
266,15/9-F-14,5351,2016,Apr,715.83333,3112.41,514414.42,91934.95,0.0,0.0
267,15/9-F-14,5351,2016,May,738.0,3212.96,506857.03,89415.55,0.0,0.0
268,15/9-F-14,5351,2016,Jun,716.08333,3075.03,495103.7,88380.72,0.0,0.0
269,15/9-F-14,5351,2016,Jul,301.225,1326.86,215288.52,37892.52,0.0,0.0
270,15/9-F-14,5351,2016,Aug,0.0,0.0,0.0,0.0,0.0,0.0
271,15/9-F-14,5351,2016,Sep,0.0,0.0,0.0,0.0,0.0,0.0
272,15/9-F-15 D,7289,2014,Jan,339.91667,5674.63,820968.96,0.0,0.0,0.0
273,15/9-F-15 D,7289,2014,Feb,595.65001,7898.6,1196183.89,0.0,0.0,0.0
274,15/9-F-15 D,7289,2014,Mar,670.75,7081.47,1076363.95,0.0,0.0,0.0
275,15/9-F-15 D,7289,2014,Apr,700.875,7163.3,1074270.33,0.0,0.0,0.0
276,15/9-F-15 D,7289,2014,May,744.0,7218.61,1014000.02,0.0,0.0,0.0
277,15/9-F-15 D,7289,2014,Jun,709.33334,7012.55,1032224.48,0.0,0.0,0.0
278,15/9-F-15 D,7289,2014,Jul,732.66639,6847.42,1021004.31,0.0,0.0,0.0
279,15/9-F-15 D,7289,2014,Aug,433.325,3475.39,526611.07,0.0,0.0,0.0
280,15/9-F-15 D,7289,2014,Sep,647.45834,5314.55,833248.65,0.0,0.0,0.0
281,15/9-F-15 D,7289,2014,Oct,733.33333,5732.97,886879.16,182.78,0.0,0.0
282,15/9-F-15 D,7289,2014,Nov,597.375,4716.31,732052.12,192.87,0.0,0.0
